ESTACION;DIA;MES;MINIMA;MAXIMA
PUDAHUEL;18;Ene;10,8;27,7
PUDAHUEL;19;Ene;10,3;28,3
PUDAHUEL;20;Ene;11,2;29,6
PUDAHUEL;21;Ene;11,3;30
PUDAHUEL;22;Ene;10,2;29,5
PUDAHUEL;23;Ene;12,1;31,6
PUDAHUEL;24;Ene;14,3;33,2
PUDAHUEL;25;Ene;14,7;30,6
PUDAHUEL;26;Ene;12,4;29,6
PUDAHUEL;27;Ene;12,8;28,2
PUDAHUEL;28;Ene;12,2;28
PUDAHUEL;29;Ene;12,8;26,4
PUDAHUEL;30;Ene;13,6;29,6
PUDAHUEL;31;Ene;14,5;30,3
PUDAHUEL;1;Feb;14,5;28,7
PUDAHUEL;2;Feb;13,9;29,8
PUDAHUEL;3;Feb;13,7;27,7
PUDAHUEL;4;Feb;11,8;29,6
PUDAHUEL;5;Feb;13,4;31,4
PUDAHUEL;6;Feb;15,3;34
PUDAHUEL;7;Feb;14,1;30,9
PUDAHUEL;8;Feb;13,1;33,1
PUDAHUEL;9;Feb;13,9;31,1
PUDAHUEL;10;Feb;13;25,2
PUDAHUEL;11;Feb;15,3;29,2
PUDAHUEL;12;Feb;14,2;32,9
PUDAHUEL;13;Feb;14,4;28,7
PUDAHUEL;14;Feb;13,4;30,2
PUDAHUEL;15;Feb;12,7;27,6
PUDAHUEL;16;Feb;13,1;32,5
PUDAHUEL;17;Feb;13,7;33,7
PUDAHUEL;18;Feb;12,6;31,7
PUDAHUEL;19;Feb;11,1;30,3
PUDAHUEL;20;Feb;12,9;28,2
PUDAHUEL;21;Feb;11,6;27,8
PUDAHUEL;22;Feb;11;26,5
PUDAHUEL;23;Feb;12,4;25,6
PUDAHUEL;24;Feb;9,7;28,2
PUDAHUEL;25;Feb;11,2;30,7
PUDAHUEL;26;Feb;11,8;29,8
PUDAHUEL;27;Feb;13;28,8
PUDAHUEL;28;Feb;12,1;30,3
PUDAHUEL;1;Mar;11,4;31,7
PUDAHUEL;2;Mar;12,7;32,7
PUDAHUEL;3;Mar;14,4;30,5
PUDAHUEL;4;Mar;13,7;29,9
PUDAHUEL;5;Mar;14,5;29,8
PUDAHUEL;6;Mar;13,5;24,8
PUDAHUEL;7;Mar;8,5;30,3
PUDAHUEL;8;Mar;12,8;26,9
PUDAHUEL;9;Mar;10,1;28,9
PUDAHUEL;10;Mar;11,6;31,2
PUDAHUEL;11;Mar;11,7;30,2
PUDAHUEL;12;Mar;11,1;28,1
PUDAHUEL;13;Mar;10,8;32,6
PUDAHUEL;14;Mar;12,7;31,7
PUDAHUEL;15;Mar;12,4;29,6
PUDAHUEL;16;Mar;12,5;25,3
PUDAHUEL;17;Mar;13,3;22,2
PUDAHUEL;18;Mar;11,2;29,2
PUDAHUEL;19;Mar;13,9;30
PUDAHUEL;20;Mar;15,7;28
PUDAHUEL;21;Mar;7,4;25,5
PUDAHUEL;22;Mar;9,1;28,5
PUDAHUEL;23;Mar;8,9;22
PUDAHUEL;24;Mar;6,4;28,6
PUDAHUEL;25;Mar;8,4;31,1
PUDAHUEL;26;Mar;8,8;24,3
PUDAHUEL;27;Mar;7,6;28,5
PUDAHUEL;28;Mar;9,3;28
PUDAHUEL;29;Mar;9,6;25,8
PUDAHUEL;30;Mar;6,5;27,2
PUDAHUEL;31;Mar;7,3;28,8
PUDAHUEL;1;Abr;7,9;29,3
PUDAHUEL;2;Abr;7,9;26,9
PUDAHUEL;3;Abr;7,2;25,6
PUDAHUEL;4;Abr;7,8;28,7
PUDAHUEL;5;Abr;9,2;30,3
PUDAHUEL;6;Abr;8,6;29,3
PUDAHUEL;7;Abr;8,9;29,6
PUDAHUEL;8;Abr;9,6;28,7
PUDAHUEL;9;Abr;8,7;23,7
PUDAHUEL;10;Abr;7,5;21,9
PUDAHUEL;11;Abr;6,8;22,7
PUDAHUEL;12;Abr;10,8;22
PUDAHUEL;13;Abr;5,5;28,8
PUDAHUEL;14;Abr;6,6;24,5
PUDAHUEL;15;Abr;9,7;15,8
PUDAHUEL;16;Abr;3,8;23,9
PUDAHUEL;17;Abr;5,1;24,3
PUDAHUEL;18;Abr;5,1;23,5
PUDAHUEL;19;Abr;7,7;22,1
PUDAHUEL;20;Abr;6,4;23,4
PUDAHUEL;21;Abr;7,6;19,7
PUDAHUEL;22;Abr;11,2;22,5
PUDAHUEL;23;Abr;7,2;24,8
PUDAHUEL;24;Abr;7,7;21,1
PUDAHUEL;25;Abr;10,2;23,3
PUDAHUEL;26;Abr;10,9;20,3
PUDAHUEL;27;Abr;10,4;13,9
PUDAHUEL;28;Abr;4,2;19,4
PUDAHUEL;29;Abr;4,3;24,9
PUDAHUEL;30;Abr;5,8;22,7
PUDAHUEL;1;May;5,2;21,5
PUDAHUEL;2;May;5,6;21,8
PUDAHUEL;3;May;4,8;27,2
PUDAHUEL;4;May;6,2;26,5
PUDAHUEL;5;May;8,4;15,4
PUDAHUEL;6;May;6,5;23,9
PUDAHUEL;7;May;4,6;22,9
PUDAHUEL;8;May;9,3;12,5
PUDAHUEL;9;May;4,4;20,5
PUDAHUEL;10;May;6;24,1
PUDAHUEL;11;May;8,6;22
PUDAHUEL;12;May;9,7;17,5
PUDAHUEL;13;May;6,3;21,6
PUDAHUEL;14;May;4,9;19,7
PUDAHUEL;15;May;2,5;24,6
PUDAHUEL;16;May;3,3;19,7
PUDAHUEL;17;May;0;21,1
PUDAHUEL;18;May;0,5;19,7
PUDAHUEL;19;May;4,1;17,6
PUDAHUEL;20;May;9,5;19,7
PUDAHUEL;21;May;4;20,4
PUDAHUEL;22;May;7,9;16,3
PUDAHUEL;23;May;10,1;19,1
PUDAHUEL;24;May;9,1;19,5
PUDAHUEL;25;May;6;20,5
PUDAHUEL;26;May;3;16,6
PUDAHUEL;27;May;3,2;12,8
PUDAHUEL;28;May;6,3;12,1
PUDAHUEL;29;May;-1,5;15,3
PUDAHUEL;30;May;-2,6;15,9
PUDAHUEL;31;May;-3,1;14,3
PUDAHUEL;1;Jun;-2,8;12,6
PUDAHUEL;2;Jun;4,4;12,6
PUDAHUEL;3;Jun;6,8;14,5
PUDAHUEL;4;Jun;7,4;15,6
PUDAHUEL;5;Jun;9,2;17,9
PUDAHUEL;6;Jun;2,1;19,7
PUDAHUEL;7;Jun;3,2;17,9
PUDAHUEL;8;Jun;1;16,9
PUDAHUEL;9;Jun;4,3;16
PUDAHUEL;10;Jun;1,9;23,8
PUDAHUEL;11;Jun;1;22,8
PUDAHUEL;12;Jun;0,4;19,1
PUDAHUEL;13;Jun;2,4;13,4
PUDAHUEL;14;Jun;5,2;11
PUDAHUEL;15;Jun;-1,5;14,5
PUDAHUEL;16;Jun;6,2;13,9
PUDAHUEL;17;Jun;-0,1;15,5
PUDAHUEL;18;Jun;-0,8;16,7
PUDAHUEL;19;Jun;3,7;14,8
PUDAHUEL;20;Jun;4;12,6
PUDAHUEL;21;Jun;3;11,6
PUDAHUEL;22;Jun;3,5;13
PUDAHUEL;23;Jun;7,8;14,4
PUDAHUEL;24;Jun;3;11,2
PUDAHUEL;25;Jun;3,5;16
PUDAHUEL;26;Jun;0,7;12,7
PUDAHUEL;27;Jun;-1,6;14,7
PUDAHUEL;28;Jun;0,2;17,4
PUDAHUEL;29;Jun;0,9;17,4
PUDAHUEL;30;Jun;3,4;19,2
PUDAHUEL;1;Jul;5,6;10,1
PUDAHUEL;2;Jul;-1,6;12,2
PUDAHUEL;3;Jul;1,9;7
PUDAHUEL;4;Jul;-1;15
PUDAHUEL;5;Jul;-0,6;14,6
PUDAHUEL;6;Jul;0;9,7
PUDAHUEL;7;Jul;-0,3;16,5
PUDAHUEL;8;Jul;3,8;15,8
PUDAHUEL;9;Jul;6,7;11,8
PUDAHUEL;10;Jul;5,2;8,9
PUDAHUEL;11;Jul;5,3;12
PUDAHUEL;12;Jul;1,2;15,4
PUDAHUEL;13;Jul;1,3;11,6
PUDAHUEL;14;Jul;3,3;11,2
PUDAHUEL;15;Jul;2,9;9,4
PUDAHUEL;16;Jul;0,2;11,1
PUDAHUEL;17;Jul;-0,2;9,9
PUDAHUEL;18;Jul;-0,1;18,4
PUDAHUEL;19;Jul;0;21,4
PUDAHUEL;20;Jul;1,1;18,4
PUDAHUEL;21;Jul;1,1;18,9
PUDAHUEL;22;Jul;2,2;21
PUDAHUEL;23;Jul;2,9;19
PUDAHUEL;24;Jul;4,3;12,7
PUDAHUEL;25;Jul;7,2;13,8
PUDAHUEL;26;Jul;1,3;16,1
PUDAHUEL;27;Jul;5,8;12,6
PUDAHUEL;28;Jul;3,3;17,2
PUDAHUEL;29;Jul;0,4;20,5
PUDAHUEL;30;Jul;5,5;11,4
PUDAHUEL;31;Jul;3,6;16,7
PUDAHUEL;1;Ago;4,6;12,1
PUDAHUEL;2;Ago;7,5;14,4
PUDAHUEL;3;Ago;1,2;13,3
PUDAHUEL;4;Ago;0,7;15,3
PUDAHUEL;5;Ago;0;16,6
PUDAHUEL;6;Ago;6,6;12,4
PUDAHUEL;7;Ago;3,4;13,5
PUDAHUEL;8;Ago;-0,3;15,3
PUDAHUEL;9;Ago;-1;22,6
PUDAHUEL;10;Ago;2,6;18,6
PUDAHUEL;11;Ago;2,1;18,9
PUDAHUEL;12;Ago;6,7;14,2
PUDAHUEL;13;Ago;-0,5;17,5
PUDAHUEL;14;Ago;1,1;13,9
PUDAHUEL;15;Ago;5,8;13,5
PUDAHUEL;16;Ago;7,2;10,5
PUDAHUEL;17;Ago;5,5;12,8
PUDAHUEL;18;Ago;0,3;16,7
PUDAHUEL;19;Ago;0,9;24,5
PUDAHUEL;20;Ago;3,6;24,2
PUDAHUEL;21;Ago;4,2;21,8
PUDAHUEL;22;Ago;8;11
PUDAHUEL;23;Ago;9,1;18,5
PUDAHUEL;24;Ago;3,6;19,2
PUDAHUEL;25;Ago;1,5;22,5
PUDAHUEL;26;Ago;5,6;17,3
PUDAHUEL;27;Ago;6,5;19,6
PUDAHUEL;28;Ago;2;29,3
PUDAHUEL;29;Ago;4,4;24,4
PUDAHUEL;30;Ago;6,9;14,9
PUDAHUEL;31;Ago;8,5;11,3
PUDAHUEL;1;Sep;8,6;14,5
PUDAHUEL;2;Sep;0,5;22
PUDAHUEL;3;Sep;2,8;25,1
PUDAHUEL;4;Sep;3;26,1
PUDAHUEL;5;Sep;4,2;28
PUDAHUEL;6;Sep;4,9;24,9
PUDAHUEL;7;Sep;7,2;15
PUDAHUEL;8;Sep;4,6;9,8
PUDAHUEL;9;Sep;-0,6;18,8
PUDAHUEL;10;Sep;1,5;19,3
PUDAHUEL;11;Sep;7,6;15,3
PUDAHUEL;12;Sep;0,2;18
PUDAHUEL;13;Sep;8,2;16,9
PUDAHUEL;14;Sep;1,8;23,6
PUDAHUEL;15;Sep;3,9;24,4
PUDAHUEL;16;Sep;6,4;15,1
PUDAHUEL;17;Sep;6,8;15,3
PUDAHUEL;18;Sep;7,6;14,4
PUDAHUEL;19;Sep;7,2;16,1
PUDAHUEL;20;Sep;7,1;13
PUDAHUEL;21;Sep;0,8;16,4
PUDAHUEL;22;Sep;0,3;23,2
PUDAHUEL;23;Sep;7;20,8
PUDAHUEL;24;Sep;9,3;12,3
PUDAHUEL;25;Sep;8,5;18,9
PUDAHUEL;26;Sep;6,8;19,4
PUDAHUEL;27;Sep;5,8;23,1
PUDAHUEL;28;Sep;5;22,2
PUDAHUEL;29;Sep;8,7;20,5
PUDAHUEL;30;Sep;9,2;24,8
PUDAHUEL;1;Oct;7,1;26,2
PUDAHUEL;2;Oct;5,8;27,1
PUDAHUEL;3;Oct;8,4;15,4
PUDAHUEL;4;Oct;8,2;18,6
PUDAHUEL;5;Oct;9,3;18,9
PUDAHUEL;6;Oct;7,5;23,4
PUDAHUEL;7;Oct;6,9;27,3
PUDAHUEL;8;Oct;9,1;22,4
PUDAHUEL;9;Oct;5,8;27,2
PUDAHUEL;10;Oct;6,1;21,7
PUDAHUEL;11;Oct;5,1;22,7
PUDAHUEL;12;Oct;6,3;24,6
PUDAHUEL;13;Oct;7;26
PUDAHUEL;14;Oct;6;27,5
PUDAHUEL;15;Oct;7,3;29,9
PUDAHUEL;16;Oct;7,8;28,2
PUDAHUEL;17;Oct;6,7;22,5
PUDAHUEL;18;Oct;8,8;22,4
PUDAHUEL;19;Oct;6,9;21,9
PUDAHUEL;20;Oct;6,5;27,4
PUDAHUEL;21;Oct;8,6;26,9
PUDAHUEL;22;Oct;8,2;28,1
PUDAHUEL;23;Oct;8,2;25,6
PUDAHUEL;24;Oct;6,7;27,2
PUDAHUEL;25;Oct;9,5;21,6
PUDAHUEL;26;Oct;9,1;25,3
PUDAHUEL;27;Oct;9,1;27,6
PUDAHUEL;28;Oct;8,8;26,5
PUDAHUEL;29;Oct;8,8;28,3
PUDAHUEL;30;Oct;10,2;20,2
PUDAHUEL;31;Oct;4,8;29,6
PUDAHUEL;1;Nov;7,8;33,4
PUDAHUEL;2;Nov;7,7;31,3
PUDAHUEL;3;Nov;8,7;28
PUDAHUEL;4;Nov;9;25,1
PUDAHUEL;5;Nov;7,4;25,8
PUDAHUEL;6;Nov;9,2;28,1
PUDAHUEL;7;Nov;10,8;29,9
PUDAHUEL;8;Nov;10,3;21
PUDAHUEL;9;Nov;11,6;19,6
PUDAHUEL;10;Nov;8,2;24
PUDAHUEL;11;Nov;11,3;21,3
PUDAHUEL;12;Nov;11,4;19,7
PUDAHUEL;13;Nov;8;24,6
PUDAHUEL;14;Nov;7,6;30,2
PUDAHUEL;15;Nov;12,3;33,2
PUDAHUEL;16;Nov;13,2;31,7
PUDAHUEL;17;Nov;14,1;31,1
PUDAHUEL;18;Nov;12,4;31
PUDAHUEL;19;Nov;14,1;29,3
PUDAHUEL;20;Nov;13,5;29,6
PUDAHUEL;21;Nov;10,9;31,7
PUDAHUEL;22;Nov;13,3;32,5
PUDAHUEL;23;Nov;12,7;32,5
PUDAHUEL;24;Nov;14;30,6
PUDAHUEL;25;Nov;15,6;32,9
PUDAHUEL;26;Nov;14,2;33,4
PUDAHUEL;27;Nov;12;29,2
PUDAHUEL;28;Nov;11,5;28,1
PUDAHUEL;29;Nov;12,2;25,7
PUDAHUEL;30;Nov;13,5;25,6
PUDAHUEL;1;Dic;11,1;28,6
PUDAHUEL;2;Dic;11,9;30,2
PUDAHUEL;3;Dic;11,3;30,4
PUDAHUEL;4;Dic;13,8;32,8
PUDAHUEL;5;Dic;14,7;31,7
PUDAHUEL;6;Dic;13;34,1
PUDAHUEL;7;Dic;15,1;32,4
PUDAHUEL;8;Dic;13,9;33,1
PUDAHUEL;9;Dic;17;32,3
PUDAHUEL;10;Dic;16;34,9
PUDAHUEL;11;Dic;16,4;35,5
PUDAHUEL;12;Dic;14,5;32,6
PUDAHUEL;13;Dic;14,7;33,2
PUDAHUEL;14;Dic;14,6;31,2
PUDAHUEL;15;Dic;16,2;36,8
PUDAHUEL;16;Dic;15,8;29,9
PUDAHUEL;17;Dic;11,4;26,4
PUDAHUEL;18;Dic;10,9;30,6
PUDAHUEL;19;Dic;13,1;28,6
PUDAHUEL;20;Dic;10,3;30,9
PUDAHUEL;21;Dic;13,9;32,4
PUDAHUEL;22;Dic;12,5;30
PUDAHUEL;23;Dic;15,3;29,6
PUDAHUEL;24;Dic;14;32,3
PUDAHUEL;25;Dic;13,3;29,5
PUDAHUEL;26;Dic;13,5;27
PUDAHUEL;27;Dic;13,9;30,8
PUDAHUEL;28;Dic;14,3;31,8
PUDAHUEL;29;Dic;15,3;33,9
PUDAHUEL;30;Dic;14,2;28,6
PUDAHUEL;31;Dic;13,9;21,3
QUINTA NORMAL;1;Ene;11,3;29,9
QUINTA NORMAL;2;Ene;11,5;31
QUINTA NORMAL;3;Ene;12,5;32,6
QUINTA NORMAL;4;Ene;14;32,4
QUINTA NORMAL;5;Ene;15;32,3
QUINTA NORMAL;6;Ene;13,5;30,3
QUINTA NORMAL;7;Ene;12,5;33,6
QUINTA NORMAL;8;Ene;14,8;28,4
QUINTA NORMAL;9;Ene;13,6;28,3
QUINTA NORMAL;10;Ene;13,1;31,7
QUINTA NORMAL;11;Ene;14,8;31,5
QUINTA NORMAL;12;Ene;15,5;30,1
QUINTA NORMAL;13;Ene;13,2;28,6
QUINTA NORMAL;14;Ene;13,8;32,1
QUINTA NORMAL;15;Ene;14,7;29,2
QUINTA NORMAL;16;Ene;13,8;23,3
QUINTA NORMAL;17;Ene;12,5;25
QUINTA NORMAL;18;Ene;8,5;28,1
QUINTA NORMAL;19;Ene;9,7;28,6
QUINTA NORMAL;20;Ene;9;29,5
QUINTA NORMAL;21;Ene;9,9;30,3
QUINTA NORMAL;22;Ene;10,1;29,7
QUINTA NORMAL;23;Ene;11,3;32,5
QUINTA NORMAL;24;Ene;12,3;33,5
QUINTA NORMAL;25;Ene;12,8;31
QUINTA NORMAL;26;Ene;11,7;29,9
QUINTA NORMAL;27;Ene;12;28,2
QUINTA NORMAL;28;Ene;12,1;27,9
QUINTA NORMAL;29;Ene;12,8;27,1
QUINTA NORMAL;30;Ene;12,2;29,7
QUINTA NORMAL;31;Ene;13,2;31
QUINTA NORMAL;1;Feb;13,1;28,6
QUINTA NORMAL;2;Feb;12,8;30,3
QUINTA NORMAL;3;Feb;12,6;28,1
QUINTA NORMAL;4;Feb;12,1;29,6
QUINTA NORMAL;5;Feb;13,4;31,9
QUINTA NORMAL;6;Feb;13,9;34,9
QUINTA NORMAL;7;Feb;13,3;30,6
QUINTA NORMAL;8;Feb;12,6;33,4
QUINTA NORMAL;9;Feb;13,3;30,5
QUINTA NORMAL;10;Feb;13,1;25,7
QUINTA NORMAL;11;Feb;13,5;29,4
QUINTA NORMAL;12;Feb;13,9;33,3
QUINTA NORMAL;13;Feb;12,7;29,1
QUINTA NORMAL;14;Feb;12,6;30,5
QUINTA NORMAL;15;Feb;12,7;27,2
QUINTA NORMAL;16;Feb;12;32,8
QUINTA NORMAL;17;Feb;13,1;34
QUINTA NORMAL;18;Feb;12,9;32,1
QUINTA NORMAL;19;Feb;10,2;30,7
QUINTA NORMAL;20;Feb;12;28,1
QUINTA NORMAL;21;Feb;10,9;27,8
QUINTA NORMAL;22;Feb;10,8;26,8
QUINTA NORMAL;23;Feb;11,8;25,8
QUINTA NORMAL;24;Feb;10,2;28,4
QUINTA NORMAL;25;Feb;10,4;31,2
QUINTA NORMAL;26;Feb;10,8;30
QUINTA NORMAL;27;Feb;12,3;28,7
QUINTA NORMAL;28;Feb;10,7;30,6
QUINTA NORMAL;1;Mar;10;33
QUINTA NORMAL;2;Mar;11,8;32,8
QUINTA NORMAL;3;Mar;12,8;30,3
QUINTA NORMAL;4;Mar;13,3;30,1
QUINTA NORMAL;5;Mar;14,3;30,5
QUINTA NORMAL;6;Mar;12,7;25
QUINTA NORMAL;7;Mar;8,4;30,9
QUINTA NORMAL;8;Mar;11;26,2
QUINTA NORMAL;9;Mar;9,3;28,9
QUINTA NORMAL;10;Mar;10,8;31,1
QUINTA NORMAL;11;Mar;12;30,9
QUINTA NORMAL;12;Mar;10,7;28,3
QUINTA NORMAL;13;Mar;11,2;31,9
QUINTA NORMAL;14;Mar;11,8;31,5
QUINTA NORMAL;15;Mar;12,1;29,4
QUINTA NORMAL;16;Mar;12,7;25,3
QUINTA NORMAL;17;Mar;13,3;22,2
QUINTA NORMAL;18;Mar;10,4;29,8
QUINTA NORMAL;19;Mar;14,3;30,3
QUINTA NORMAL;20;Mar;15;27,4
QUINTA NORMAL;21;Mar;7,9;26
QUINTA NORMAL;22;Mar;8,6;28,4
QUINTA NORMAL;23;Mar;8,6;22,2
QUINTA NORMAL;24;Mar;6,6;29,1
QUINTA NORMAL;25;Mar;7,7;30,4
QUINTA NORMAL;26;Mar;8,3;23,6
QUINTA NORMAL;27;Mar;8;29
QUINTA NORMAL;28;Mar;8,7;28,1
QUINTA NORMAL;29;Mar;8,1;26,1
QUINTA NORMAL;30;Mar;5,7;27,3
QUINTA NORMAL;31;Mar;6,4;29
QUINTA NORMAL;1;Abr;7,5;29,1
QUINTA NORMAL;2;Abr;8,1;26,8
QUINTA NORMAL;3;Abr;8,7;25,6
QUINTA NORMAL;4;Abr;7,6;29,2
QUINTA NORMAL;5;Abr;9;30,4
QUINTA NORMAL;6;Abr;8,7;29,6
QUINTA NORMAL;7;Abr;8,6;29,9
QUINTA NORMAL;8;Abr;9,6;28,7
QUINTA NORMAL;9;Abr;8,9;23,6
QUINTA NORMAL;10;Abr;7,7;22,4
QUINTA NORMAL;11;Abr;6,5;22,6
QUINTA NORMAL;12;Abr;9;22
QUINTA NORMAL;13;Abr;4,9;28,7
QUINTA NORMAL;14;Abr;6,9;24,5
QUINTA NORMAL;15;Abr;9,5;16,4
QUINTA NORMAL;16;Abr;4,8;23,9
QUINTA NORMAL;17;Abr;6;24,9
QUINTA NORMAL;18;Abr;5,1;23,9
QUINTA NORMAL;19;Abr;8,2;22,8
QUINTA NORMAL;20;Abr;7,2;24,6
QUINTA NORMAL;21;Abr;7,5;19,7
QUINTA NORMAL;22;Abr;10;22,6
QUINTA NORMAL;23;Abr;7,8;24,6
QUINTA NORMAL;24;Abr;7,8;21,6
QUINTA NORMAL;25;Abr;9,6;23,4
